# PD works (author d.<=1930) with a SINGLE Project Gutenberg id + P747, not yet done.
# Feed: python projects/isbn_cleanup/curate_pd_works.py --file output/pd_single_gutenberg_todo.txt --no-first-edition --save
Q1398793	1505(en/Text)	The Rape of Lucrece
Q140057	18972(en/Text)	Zadig or Destiny
Q140128213	68612(en/Text)	An Account of the Principalities of Wallachia
Q140527	13951(fr/Text)	The Three Musketeers
Q141568	122(en/Text)	The Return of the Native
Q1432001	10425(de/Text)	Torquato Tasso
Q1435976	1175(en/Text)	Hiero
Q143707	1355(en/Text)	The Child of the Cavern
Q144132	36541(en/Text)	Unto This Last
Q1444644	2664(en/Text)	Zanoni
Q1446938	17517(fr/Text)	L'Œuvre
Q14566477	4537(en/Text)	Sylvia's Lovers
Q146866	1938(en/Text)	Resurrection
Q14981036	9906(en/Text)	In the Sargasso Sea
Q1498315	4341(en/Text)	Mutual Aid: A Factor of Evolution
Q151883	2527(en/Text)	The Sorrows of Young Werther
Q152267	910(en/Text)	White Fang
Q1557935	883(en/Text)	Our Mutual Friend
Q1567505	160(en/Text)	The Awakening
Q1605244	13861(fr/Text)	Adolphe
Q1635110	6053(en/Text)	Evelina
Q16385244	7605(en/Text)	The Caxtons
Q16386106	3837(en/Text)	Hospital Sketches
Q16386839	20606(en/Text)	The Magic City
Q1639633	1259(en/Text)	Twenty Years After
Q16438	23700(en/Text)	The Decameron
Q164974	56586(de/Text)	Oliver Twist
Q16514368	687(en/Text)	A Personal Record
Q165318	2554(en/Text)	Crime and Punishment
Q1659447	54(en/Text)	The Marvelous Land of Oz
Q16653711	2305(en/Text)	The Duel
Q16765210	26608(fr/Text)	The Treasure of the City of Ladies
Q1691889	1862(en/Text)	Tartarin of Tarascon
Q17027661	1463(en/Text)	The Private Papers of Henry Ryecroft
Q170583	1342(en/Text)	Pride and Prejudice
Q17088580	9051(en/Text)	Sanin
Q17360856	18269(en/Text)	Pensées
Q17407121	527(en/Text)	The End of the Tether
Q17512014	55948(en/Text)	The Abysmal Brute
Q1755607	8563(fr/Text)	La Terre
Q176465	4093(en/Text)	Hedda Gabler
Q1768515	3704(en/Text)	The Voyage of the Beagle
Q1774700	2296(en/Text)	The Pillars of Society
Q1776855	102(en/Text)	Pudd'nhead Wilson
Q180471	30442(en/Text)	Letters From My Windmill
Q180736	135(en/Text)	Les Misérables
Q18084	41085(en/Text)	Vita Nuova
Q1810331	773(en/Text)	Lord Arthur Savile's Crime and Other Stories
Q18209556	14658(en/Text)	The Road
Q1826666	9911(en/Text)	Torrents of Spring
Q182961	1260(en/Text)	Jane Eyre
Q183157	28054(en/Text)	The Brothers Karamazov
Q183565	54873(fr/Text)	Twenty Thousand Leagues Under the Sea
Q184222	5200(en/Text)	The Metamorphosis
Q185118	120(en/Text)	Treasure Island
Q1853142	4276(en/Text)	North and South
Q185427	391(en/Text)	The Song of Roland
Q1898036	2275(en/Text)	The Pioneers
Q189811	766(en/Text)	David Copperfield
Q1903609	968(en/Text)	Martin Chuzzlewit
Q19082339	66791(en/Text)	The City of the Saints
Q19106711	494(en/Text)	To-morrow
Q19129908	44797(it/Text)	Ettore Fieramosca
Q191380	2610(en/Text)	The Hunchback of Notre Dame
Q191663	2383(en/Text)	The Canterbury Tales
Q19169639	58881(en/Text)	Philosophical Essay on Probabilities
Q19196151	63083(en/Text)	The Marquis de Villemer
Q192649	798(fr/Text)	The Red and the Black
Q193034	3207(en/Text)	Leviathan
Q1932742	1954(en/Text)	Colonel Chabert
Q193417	14155(fr/Text)	Madame Bovary
Q19450117	66644(en/Text)	Origin and ideals of the modern school
Q1962786	59047(it/Text)	La scienza in cucina e l'arte di mangiar bene
Q1985932	4651(fr/Text)	The Huron; or, Pupil of Nature
Q1994609	52611(fr/Text)	The Devil in Love
Q2020094	13857(fr/Text)	La Reine Margot
Q2048624	6124(en/Text)	Pamela; or, Virtue Rewarded
